"gene_id","SYMBOL","GENENAME","GeneType"
"105374693","LINC02211","long intergenic non-protein coding RNA 2211","ncRNA"
"1007","CDH9","cadherin 9","protein-coding"
"105374695","LOC105374695","uncharacterized LOC105374695","ncRNA"
"643401","PURPL","p53 upregulated regulator of p53 levels","ncRNA"
"105374696","LOC105374696","uncharacterized LOC105374696","ncRNA"
"105374698","LINC02103","long intergenic non-protein coding RNA 2103","ncRNA"
"105374701","LOC105374701","uncharacterized LOC105374701","ncRNA"
"107986409","LOC107986409","uncharacterized LOC107986409","ncRNA"
"729862","LSP1P3","LSP1 pseudogene 3","pseudo"
"107986410","LOC107986410","",""
"101929645","LOC101929645","uncharacterized LOC101929645","ncRNA"
"105374699","LOC105374699","uncharacterized LOC105374699","ncRNA"
"101929660","LINC02109","long intergenic non-protein coding RNA 2109","ncRNA"
"101929681","LINC02064","long intergenic non-protein coding RNA 2064","ncRNA"
"105374702","LOC105374702","uncharacterized LOC105374702","ncRNA"
"105374703","LOC105374703","uncharacterized LOC105374703","ncRNA"
"105374704","LOC105374704","uncharacterized LOC105374704","ncRNA"
"105374705","LOC105374705","uncharacterized LOC105374705","ncRNA"
"105374706","LOC105374706","uncharacterized LOC105374706","ncRNA"
"105374707","LOC105374707","uncharacterized LOC105374707","ncRNA"
"1004","CDH6","cadherin 6","protein-coding"
"105374709","LOC105374709","uncharacterized LOC105374709","ncRNA"
"29102","DROSHA","drosha ribonuclease III","protein-coding"
"55322","C5orf22","chromosome 5 open reading frame 22","protein-coding"
"23037","PDZD2","PDZ domain containing 2","protein-coding"
"100422874","MIR4279","microRNA 4279","ncRNA"
"105374711","LOC105374711","uncharacterized LOC105374711","ncRNA"
"64083","GOLPH3","golgi phosphoprotein 3","protein-coding"
"54545","MTMR12","myotubularin related protein 12","protein-coding"
"51663","ZFR","zinc finger RNA binding protein","protein-coding"
"693164","MIR579","microRNA 579","ncRNA"
"10923","SUB1","SUB1 regulator of transcription","protein-coding"
"105374714","LINC02061","long intergenic non-protein coding RNA 2061","ncRNA"
"4883","NPR3","natriuretic peptide receptor 3","protein-coding"
"340113","LINC02120","long intergenic non-protein coding RNA 2120","ncRNA"
"105374715","LOC105374715","uncharacterized LOC105374715","ncRNA"
"105374716","LINC02160","long intergenic non-protein coding RNA 2160","ncRNA"
"107986411","TARS1-DT","TARS1 divergent transcript","ncRNA"
"6897","TARS1","threonyl-tRNA synthetase 1","protein-coding"
"105374717","LOC105374717","uncharacterized LOC105374717","ncRNA"
"81792","ADAMTS12","ADAM metallopeptidase with thrombospondin type 1 motif 12","protein-coding"
"51289","RXFP3","relaxin family peptide receptor 3","protein-coding"
"51151","SLC45A2","solute carrier family 45 member 2","protein-coding"
"23600","AMACR","alpha-methylacyl-CoA racemase","protein-coding"
"100534612","C1QTNF3-AMACR","C1QTNF3-AMACR readthrough (NMD candidate)","ncRNA"
"114899","C1QTNF3","C1q and TNF related 3","protein-coding"
"646652","LOC646652","integral membrane glycoprotein-like pseudogene","pseudo"
"105374719","LOC105374719","uncharacterized LOC105374719","ncRNA"
"105374721","LOC105374721","uncharacterized LOC105374721","ncRNA"
"105374723","RAI14-DT","RAI14 divergent transcript","ncRNA"
"26064","RAI14","retinoic acid induced 14","protein-coding"
"101929704","TTC23L-AS1","TTC23L antisense RNA 1","ncRNA"
"153657","TTC23L","tetratricopeptide repeat domain 23 like","protein-coding"
"5810","RAD1","RAD1 checkpoint DNA exonuclease","protein-coding"
"55299","BRIX1","biogenesis of ribosomes BRX1","protein-coding"
"134218","DNAJC21","DnaJ heat shock protein family (Hsp40) member C21","protein-coding"
"64902","AGXT2","alanine--glyoxylate aminotransferase 2","protein-coding"
"5618","PRLR","prolactin receptor","protein-coding"
"79925","SPEF2","sperm flagellar 2","protein-coding"
"105374724","LOC105374724","uncharacterized LOC105374724","ncRNA"
"3575","IL7R","interleukin 7 receptor","protein-coding"
"133690","CAPSL","calcyphosine like","protein-coding"
"100506406","CAPSL-DT","CAPSL divergent transcript","ncRNA"
"133688","UGT3A1","UDP glycosyltransferase family 3 member A1","protein-coding"
"167127","UGT3A2","UDP glycosyltransferase family 3 member A2","protein-coding"
"92255","LMBRD2","LMBR1 domain containing 2","protein-coding"
"693165","MIR580","microRNA 580","ncRNA"
"6502","SKP2","S-phase kinase associated protein 2","protein-coding"
"133686","NADK2","NAD kinase 2, mitochondrial","protein-coding"
"202151","RANBP3L","RAN binding protein 3 like","protein-coding"
"6507","SLC1A3","solute carrier family 1 member 3","protein-coding"
"107986413","LOC107986413","",""
"107986412","SLC1A3-AS1","SLC1A3 antisense RNA 1","ncRNA"
"646719","NIPBL-DT","NIPBL divergent transcript","ncRNA"
"25836","NIPBL","NIPBL cohesin loading factor","protein-coding"
"65250","CPLANE1","ciliogenesis and planar polarity effector complex subunit 1","protein-coding"
"105374727","CPLANE1-AS1","CPLANE1 antisense RNA 1","ncRNA"
"9631","NUP155","nucleoporin 155","protein-coding"
"55100","WDR70","WD repeat domain 70","protein-coding"
"2668","GDNF","glial cell derived neurotrophic factor","protein-coding"
"100861519","GDNF-AS1","GDNF antisense RNA 1","ncRNA"
"105374728","LINC02117","long intergenic non-protein coding RNA 2117","ncRNA"
"105374729","LINC02110","long intergenic non-protein coding RNA 2110","ncRNA"
"105374731","LINC02107","long intergenic non-protein coding RNA 2107","ncRNA"
"105374730","LOC105374730","uncharacterized LOC105374730","ncRNA"
"101929745","LINC02119","long intergenic non-protein coding RNA 2119","ncRNA"
"133584","EGFLAM","EGF like, fibronectin type III and laminin G domains","protein-coding"
"100852408","EGFLAM-AS4","EGFLAM antisense RNA 4","ncRNA"
"100506475","EGFLAM-AS2","EGFLAM antisense RNA 2","ncRNA"
"105374732","LOC105374732","uncharacterized LOC105374732","ncRNA"
"3977","LIFR","LIF receptor subunit alpha","protein-coding"
"100506495","LIFR-AS1","LIFR antisense RNA 1","ncRNA"
"100500824","MIR3650","microRNA 3650","ncRNA"
"105374735","LOC105374735","uncharacterized LOC105374735","ncRNA"
"101929768","OSMR-DT","OSMR divergent transcript","ncRNA"
"101926904","LINC01265","long intergenic non-protein coding RNA 1265","ncRNA"
"107986414","LOC107986414","uncharacterized LOC107986414","ncRNA"
"105374733","LOC105374733","replaced by ID 101929768",""
"112267930","LOC112267930","",""
"9180","OSMR","oncostatin M receptor","protein-coding"
"253260","RICTOR","RPTOR independent companion of MTOR complex 2","protein-coding"
"2533","FYB1","FYN binding protein 1","protein-coding"
"735","C9","complement C9","protein-coding"
"1601","DAB2","DAB adaptor protein 2","protein-coding"
"112267931","LOC112267931","",""
"101926940","LINC02104","long intergenic non-protein coding RNA 2104","ncRNA"
"102467077","LINC00603","long intergenic non-protein coding RNA 603","ncRNA"
"105374736","LOC105374736","uncharacterized LOC105374736","ncRNA"
"105374737","LOC105374737","uncharacterized LOC105374737","ncRNA"
"5734","PTGER4","prostaglandin E receptor 4","protein-coding"
"23548","TTC33","tetratricopeptide repeat domain 33","protein-coding"
"5562","PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1","protein-coding"
"6167","RPL37","ribosomal protein L37","protein-coding"
"619564","SNORD72","small nucleolar RNA, C/D box 72","snoRNA"
"84674","CARD6","caspase recruitment domain family member 6","protein-coding"
"730","C7","complement C7","protein-coding"
"133558","MROH2B","maestro heat like repeat family member 2B","protein-coding"
"105374739","LOC105374739","uncharacterized LOC105374739","ncRNA"
"729","C6","complement C6","protein-coding"
"102723740","LOC102723740","uncharacterized LOC102723740","ncRNA"
"345557","PLCXD3","phosphatidylinositol specific phospholipase C X domain containing 3","protein-coding"
"105374740","LOC105374740","uncharacterized LOC105374740","ncRNA"
"5019","OXCT1","3-oxoacid CoA-transferase 1","protein-coding"
"102723752","LOC102723752","uncharacterized LOC102723752","ncRNA"
"100874002","OXCT1-AS1","OXCT1 antisense RNA 1","ncRNA"
"285636","RIMOC1","RAB7A interacting MON1-CCZ1 complex subunit 1","protein-coding"
"26272","FBXO4","F-box protein 4","protein-coding"
"101926960","LINC02996","long intergenic non-protein coding RNA 2996","ncRNA"
"2690","GHR","growth hormone receptor","protein-coding"
"100129792","CCDC152","coiled-coil domain containing 152","protein-coding"
"6414","SELENOP","selenoprotein P","protein-coding"
"105374745","LOC105374745","uncharacterized LOC105374745","ncRNA"
"643977","FLJ32255","uncharacterized LOC643977","ncRNA"
"105374746","LOC105374746","uncharacterized LOC105374746","ncRNA"
"648987","ANXA2R-OT1","ANXA2R overlapping transcript","ncRNA"
"105374748","LOC105374748","uncharacterized LOC105374748","ncRNA"
"389289","ANXA2R","annexin A2 receptor","protein-coding"
"153684","ANXA2R-AS1","ANXA2R antisense RNA 1","ncRNA"
"100132356","LOC100132356","uncharacterized LOC100132356","ncRNA"
"100506639","LOC100506639","uncharacterized LOC100506639","ncRNA"
"7690","ZNF131","zinc finger protein 131","protein-coding"
"167359","NIM1K","NIM1 serine/threonine protein kinase","protein-coding"
"3157","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1","protein-coding"
"56477","CCL28","C-C motif chemokine ligand 28","protein-coding"
"64417","TMEM267","transmembrane protein 267","protein-coding"
"105374749","C5orf34-AS1","C5orf34 antisense RNA 1","ncRNA"
"375444","C5orf34","chromosome 5 open reading frame 34","protein-coding"
"10605","PAIP1","poly(A) binding protein interacting protein 1","protein-coding"
"100652772","NNT-AS1","NNT antisense RNA 1","ncRNA"
"23530","NNT","nicotinamide nucleotide transhydrogenase","protein-coding"
"2255","FGF10","fibroblast growth factor 10","protein-coding"
"101927075","FGF10-AS1","FGF10 antisense RNA 1","ncRNA"
"102723839","LINC02224","long intergenic non-protein coding RNA 2224","ncRNA"
"100506674","MRPS30-DT","MRPS30 divergent transcript","ncRNA"
"10884","MRPS30","mitochondrial ribosomal protein S30","protein-coding"
"348980","HCN1","hyperpolarization activated cyclic nucleotide gated potassium channel 1","protein-coding"
"133418","EMB","embigin","protein-coding"
"79668","PARP8","poly(ADP-ribose) polymerase family member 8","protein-coding"
"100287592","LINC02106","long intergenic non-protein coding RNA 2106","ncRNA"
"107986379","LOC107986379","uncharacterized LOC107986379","ncRNA"
"642366","ISL1-DT","ISL1 divergent transcript","ncRNA"
"3670","ISL1","ISL LIM homeobox 1","protein-coding"
"105378959","LOC105378959","uncharacterized LOC105378959","ncRNA"
"105378960","LINC02118","long intergenic non-protein coding RNA 2118","ncRNA"
"105378961","LOC105378961","uncharacterized LOC105378961","ncRNA"
"105378962","LOC105378962","uncharacterized LOC105378962","ncRNA"
"105378963","LOC105378963","uncharacterized LOC105378963","ncRNA"
"105378964","LOC105378964","uncharacterized LOC105378964","ncRNA"
"3672","ITGA1","integrin subunit alpha 1","protein-coding"
"53918","PELO","pelota mRNA surveillance and ribosome rescue factor","protein-coding"
"3673","ITGA2","integrin subunit alpha 2","protein-coding"
"4338","MOCS2","molybdenum cofactor synthesis 2","protein-coding"
"257396","MOCS2-DT","MOCS2 divergent transcript","ncRNA"
"107986380","LOC107986380","uncharacterized LOC107986380","ncRNA"
"105378965","LOC105378965","uncharacterized LOC105378965","ncRNA"
"10468","FST","follistatin","protein-coding"
"4724","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4","protein-coding"
"105378966","LINC02105","long intergenic non-protein coding RNA 2105","ncRNA"
"54622","ARL15","ADP ribosylation factor like GTPase 15","protein-coding"
"693166","MIR581","microRNA 581","ncRNA"
"104355136","LINC01033","long intergenic non-protein coding RNA 1033","ncRNA"
"8988","HSPB3","heat shock protein family B (small) member 3","protein-coding"
"112574","SNX18","sorting nexin 18","protein-coding"
"105378967","LOC105378967","replaced by ID 112574",""
"105378968","LOC105378968","",""
"102467080","LINC02998","long intergenic non-protein coding RNA 2998","ncRNA"
"105378969","LOC105378969","uncharacterized LOC105378969","ncRNA"
"11082","ESM1","endothelial cell specific molecule 1","protein-coding"
"102467081","LOC102467081","uncharacterized LOC102467081","ncRNA"
"3003","GZMK","granzyme K","protein-coding"
"105378971","LOC105378971","uncharacterized LOC105378971","ncRNA"
"3001","GZMA","granzyme A","protein-coding"
"166979","CDC20B","cell division cycle 20B","protein-coding"
"493869","GPX8","glutathione peroxidase 8 (putative)","protein-coding"
"554213","MIR449A","microRNA 449a","ncRNA"
"693123","MIR449B","microRNA 449b","ncRNA"
"100313923","MIR449C","microRNA 449c","ncRNA"
"345643","MCIDAS","multiciliate differentiation and DNA synthesis associated cell cycle protein","protein-coding"
"10309","CCNO","cyclin O","protein-coding"
"54505","DHX29","DExH-box helicase 29","protein-coding"
"105378973","LOC105378973","uncharacterized LOC105378973","ncRNA"
"23517","MTREX","Mtr4 exosome RNA helicase","protein-coding"
"107986415","LOC107986415","uncharacterized LOC107986415","ncRNA"
"8611","PLPP1","phospholipid phosphatase 1","protein-coding"
"100847019","MIR5687","microRNA 5687","ncRNA"
"379013","RNF138P1","ring finger protein 138 pseudogene 1","pseudo"
"105378975","LOC105378975","",""
"153129","SLC38A9","solute carrier family 38 member 9","protein-coding"
"54514","DDX4","DEAD-box helicase 4","protein-coding"
"133396","IL31RA","interleukin 31 receptor A","protein-coding"
"3572","IL6ST","interleukin 6 cytokine family signal transducer","protein-coding"
"441072","IL6ST-DT","IL6ST divergent transcript","ncRNA"
"105378976","LOC105378976","uncharacterized LOC105378976","ncRNA"
"79722","ANKRD55","ankyrin repeat domain 55","protein-coding"
"101928419","LOC101928419","uncharacterized LOC101928419","ncRNA"
"105378977","LOC105378977","uncharacterized LOC105378977","ncRNA"
"102467147","LINC01948","long intergenic non-protein coding RNA 1948","ncRNA"
"101928448","C5orf67","chromosome 5 putative open reading frame 67","ncRNA"
"105378978","LOC105378978","",""
"105378979","LOC105378979","growth/differentiation factor 3","ncRNA"
"4214","MAP3K1","mitogen-activated protein kinase kinase kinase 1","protein-coding"
"105378980","LOC105378980","uncharacterized LOC105378980","ncRNA"
"133383","SETD9","SET domain containing 9","protein-coding"
"166968","MIER3","MIER family member 3","protein-coding"
"65056","GPBP1","GC-rich promoter binding protein 1","protein-coding"
"107986381","LOC107986381","uncharacterized LOC107986381","ncRNA"
"345651","ACTBL2","actin beta like 2","protein-coding"
"102724122","LOC102724122","uncharacterized LOC102724122","ncRNA"
"100996645","LNCBRM","lncRNA SMARCA2 (BRM) associated","ncRNA"
"101928505","LOC101928505","uncharacterized LOC101928505","ncRNA"
"101928539","LINC02225","long intergenic non-protein coding RNA 2225","ncRNA"
"101928569","LINC02101","long intergenic non-protein coding RNA 2101","ncRNA"
"105378983","LOC105378983","uncharacterized LOC105378983","ncRNA"
"105378984","LOC105378984","uncharacterized LOC105378984","ncRNA"
"10769","PLK2","polo like kinase 2","protein-coding"
"202309","GAPT","GRB2 binding adaptor protein, transmembrane","protein-coding"
"100616339","MIR548AE2","microRNA 548ae-2","ncRNA"
"101928600","LINC02108","long intergenic non-protein coding RNA 2108","ncRNA"
"115827","RAB3C","RAB3C, member RAS oncogene family","protein-coding"
"5144","PDE4D","phosphodiesterase 4D","protein-coding"
"107986348","LOC107986348","",""
"107986347","LOC107986347","uncharacterized LOC107986347","ncRNA"
"693167","MIR582","microRNA 582","ncRNA"
"105378988","LOC105378988","uncharacterized LOC105378988","ncRNA"
"107986350","LOC107986350","uncharacterized LOC107986350","ncRNA"
"25859","PART1","prostate androgen-regulated transcript 1","ncRNA"
"55789","DEPDC1B","DEP domain containing 1B","protein-coding"
"79993","ELOVL7","ELOVL fatty acid elongase 7","protein-coding"
"1161","ERCC8","ERCC excision repair 8, CSA ubiquitin ligase complex subunit","protein-coding"
"105378991","ERCC8-AS1","ERCC8 antisense RNA 1","ncRNA"
"91942","NDUFAF2","NADH:ubiquinone oxidoreductase complex assembly factor 2","protein-coding"
"643155","SMIM15","small integral membrane protein 15","protein-coding"
"101928630","SMIM15-AS1","SMIM15 antisense RNA 1","ncRNA"
"105378992","LINC02057","long intergenic non-protein coding RNA 2057","ncRNA"
"105378993","LOC105378993","uncharacterized LOC105378993","ncRNA"
"105378994","LOC105378994","uncharacterized LOC105378994","ncRNA"
"57688","ZSWIM6","zinc finger SWIM-type containing 6","protein-coding"
"105378997","LOC105378997","basic proline-rich protein","ncRNA"
"285668","C5orf64","chromosome 5 putative open reading frame 64","ncRNA"
"101928651","LOC101928651","uncharacterized LOC101928651","ncRNA"
"100506526","C5orf64-AS1","C5orf64 antisense RNA 1","ncRNA"
"105378995","LOC105378995","uncharacterized LOC105378995","ncRNA"
"105378998","LOC105378998","uncharacterized LOC105378998","ncRNA"
"3796","KIF2A","kinesin family member 2A","protein-coding"
"27292","DIMT1","DIM1 rRNA methyltransferase and ribosome maturation factor","protein-coding"
"51194","IPO11","importin 11","protein-coding"
"101180901","IPO11-LRRC70","IPO11-LRRC70 readthrough","ncRNA"
"100130733","LRRC70","leucine rich repeat containing 70","protein-coding"
"107986418","LOC107986418","",""
"107986416","LOC107986416","uncharacterized LOC107986416","ncRNA"
"105378999","LOC105378999","uncharacterized LOC105378999","ncRNA"
"3350","HTR1A","5-hydroxytryptamine receptor 1A","protein-coding"
"285671","RNF180","ring finger protein 180","protein-coding"
"401190","RGS7BP","regulator of G protein signaling 7 binding protein","protein-coding"
"100132916","SHISAL2B","shisa like 2B","protein-coding"
"285672","SREK1IP1","SREK1 interacting protein 1","protein-coding"
"10283","CWC27","CWC27 spliceosome associated cyclophilin","protein-coding"
"107986419","LOC107986419","uncharacterized LOC107986419","ncRNA"
"11174","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6","protein-coding"
"64105","CENPK","centromere protein K","protein-coding"
"23398","PPWD1","peptidylprolyl isomerase domain and WD repeat containing 1","protein-coding"
"373","TRIM23","tripartite motif containing 23","protein-coding"
"80006","TRAPPC13","trafficking protein particle complex subunit 13","protein-coding"
"112441434","SHLD3","shieldin complex subunit 3","protein-coding"
"54557","SGTB","small glutamine rich tetratricopeptide repeat co-chaperone beta","protein-coding"
"57486","NLN","neurolysin","protein-coding"
"55914","ERBIN","erbb2 interacting protein","protein-coding"
"100303749","LOC100303749","LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) pseudogene","pseudo"
"140890","SREK1","splicing regulatory glutamic acid and lysine rich protein 1","protein-coding"
"101928741","LINC02065","long intergenic non-protein coding RNA 2065","ncRNA"
"105379004","LOC105379004","uncharacterized LOC105379004","ncRNA"
"105379003","LOC105379003","uncharacterized LOC105379003","ncRNA"
"105379002","LOC105379002","uncharacterized LOC105379002","ncRNA"
"101928769","LINC02229","long intergenic non-protein coding RNA 2229","ncRNA"
"375449","MAST4","microtubule associated serine/threonine kinase family member 4","protein-coding"
"101928794","MAST4-AS1","MAST4 antisense RNA 1","ncRNA"
"4064","CD180","CD180 molecule","protein-coding"
"101928819","LOC101928819","uncharacterized LOC101928819","ncRNA"
"105379006","LINC02242","long intergenic non-protein coding RNA 2242","ncRNA"
"105379005","LOC105379005","",""
"101928858","LINC02997","long intergenic non-protein coding RNA 2997","ncRNA"
"105379007","LOC105379007","uncharacterized LOC105379007","ncRNA"
"107986420","LOC107986420","uncharacterized LOC107986420","ncRNA"
"102467655","LINC02219","long intergenic non-protein coding RNA 2219","ncRNA"
"5295","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","protein-coding"
"105379013","LOC105379013","uncharacterized LOC105379013","ncRNA"
"105379012","LOC105379012","uncharacterized LOC105379012","ncRNA"
"105379011","LOC105379011","uncharacterized LOC105379011","ncRNA"
"105379010","LOC105379010","uncharacterized LOC105379010","ncRNA"
"105379014","LOC105379014","replaced by ID 105379013",""
"105379015","LOC105379015","uncharacterized LOC105379015","ncRNA"
"107984116","LOC107984116","uncharacterized LOC107984116","ncRNA"
"101928885","LINC02198","long intergenic non-protein coding RNA 2198","ncRNA"
"64924","SLC30A5","solute carrier family 30 member 5","protein-coding"
"109616958","SNORA50D","small nucleolar RNA, H/ACA box 50D","snoRNA"
"891","CCNB1","cyclin B1","protein-coding"
"112267932","LOC112267932","uncharacterized LOC112267932","ncRNA"
"64946","CENPH","centromere protein H","protein-coding"
"92259","MRPS36","mitochondrial ribosomal protein S36","protein-coding"
"1022","CDK7","cyclin dependent kinase 7","protein-coding"
"202243","CCDC125","coiled-coil domain containing 125","protein-coding"
"102157402","AK6","adenylate kinase 6","protein-coding"
"6880","TAF9","TATA-box binding protein associated factor 9","protein-coding"
"5884","RAD17","RAD17 checkpoint clamp loader component","protein-coding"
"153562","MARVELD2","MARVEL domain containing 2","protein-coding"
"101928924","LOC101928924","uncharacterized LOC101928924","ncRNA"
"100506658","OCLN","occludin","protein-coding"
"109617019","SNORD13B-1","small nucleolar RNA, C/D box 13B-1","snoRNA"
"728340","GTF2H2C","GTF2H2 family member C","protein-coding"
"653188","GUSBP3","GUSB pseudogene 3","pseudo"
"107986357","LOC107986357","",""
"105379623","LOC105379623","uncharacterized LOC105379623","ncRNA"
"105369228","LOC105369228","uncharacterized LOC105369228","ncRNA"
"112267941","LOC112267941","",""
"728492","SERF1B","small EDRK-rich factor 1B","protein-coding"
"107986372","LOC107986372","mitochondrial import receptor subunit TOM5 homolog","protein-coding"
"6607","SMN2","survival of motor neuron 2, centromeric","protein-coding"
"11039","GUSBP14","GUSB pseudogene 14","pseudo"
"112267939","LOC112267939","",""
"112267940","LOC112267940","",""
"107986356","LOC107986356","replaced by ID 105379623",""
"105379021","LOC105379021","uncharacterized LOC105379021","ncRNA"
"653238","GTF2H2B","general transcription factor IIH subunit 2B (pseudogene)","pseudo"
"11042","GUSBP15","GUSB pseudogene 15","pseudo"
"441081","LOC441081","POM121 membrane glycoprotein (rat) pseudogene","pseudo"
"105379020","LOC105379020","uncharacterized LOC105379020","ncRNA"
"107986355","LOC107986355","uncharacterized LOC107986355","ncRNA"
"107986358","LOC107986358","",""
"653080","GUSBP16","GUSB pseudogene 16","pseudo"
"101929599","LOC101929599","putative POM121-like protein 1-like pseudogene","pseudo"
"8293","SERF1A","small EDRK-rich factor 1A","protein-coding"
"107986373","LOC107986373","mitochondrial import receptor subunit TOM5 homolog","protein-coding"
"6606","SMN1","survival of motor neuron 1, telomeric","protein-coding"
"4671","NAIP","NLR family apoptosis inhibitory protein","protein-coding"
"112267942","LOC112267942","uncharacterized LOC112267942","ncRNA"
"2966","GTF2H2","general transcription factor IIH subunit 2","protein-coding"
"647859","OCLNP1","OCLN pseudogene 1","pseudo"
"109617021","SNORD13B-2","small nucleolar RNA, C/D box 13B-2","snoRNA"
"100049076","GUSBP17","GUSB pseudogene 17","pseudo"
"105379016","LOC105379016","uncharacterized LOC105379016","ncRNA"
"107986421","LOC107986421","replaced by ID 124900626",""
"102724392","LINC02197","long intergenic non-protein coding RNA 2197","ncRNA"
"105379026","LOC105379026","",""
"105379025","LOC105379025","uncharacterized LOC105379025","ncRNA"
"5370","PMCHL2","pro-melanin concentrating hormone like 2 (pseudogene)","pseudo"
"55814","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB","protein-coding"
"64087","MCCC2","methylcrotonyl-CoA carboxylase subunit 2","protein-coding"
"9607","CARTPT","CART prepropeptide","protein-coding"
"105379027","LOC105379027","uncharacterized LOC105379027","ncRNA"
"107986382","LOC107986382","uncharacterized LOC107986382","ncRNA"
"105379028","LOC105379028","uncharacterized LOC105379028","ncRNA"
"4131","MAP1B","microtubule associated protein 1B","protein-coding"
"100616377","MIR4803","microRNA 4803","ncRNA"
"23107","MRPS27","mitochondrial ribosomal protein S27","protein-coding"
"107986422","LOC107986422","uncharacterized LOC107986422","ncRNA"
"79810","PTCD2","pentatricopeptide repeat domain 2","protein-coding"
"167465","ZNF366","zinc finger protein 366","protein-coding"
"102503427","LOC102503427","uncharacterized LOC102503427","ncRNA"
"102477328","LINC02056","long intergenic non-protein coding RNA 2056","ncRNA"
"3842","TNPO1","transportin 1","protein-coding"
"100616152","MIR4804","microRNA 4804","ncRNA"
"115548","FCHO2","FCH and mu domain containing endocytic adaptor 2","protein-coding"
"134285","TMEM171","transmembrane protein 171","protein-coding"
"105379030","LOC105379030","uncharacterized LOC105379030","ncRNA"
"134288","TMEM174","transmembrane protein 174","protein-coding"
"340090","LOC340090","uncharacterized LOC340090","ncRNA"
"105379031","LOC105379031","uncharacterized LOC105379031","ncRNA"
"105379033","LINC02230","long intergenic non-protein coding RNA 2230","ncRNA"
"107986383","LOC107986383","uncharacterized LOC107986383","ncRNA"
"2297","FOXD1","forkhead box D1","protein-coding"
"104355294","LINC01386","long intergenic non-protein coding RNA 1386","ncRNA"
"689","BTF3","basic transcription factor 3","protein-coding"
"57763","ANKRA2","ankyrin repeat family A member 2","protein-coding"
"84135","UTP15","UTP15 small subunit processome component","protein-coding"
"64283","ARHGEF28","Rho guanine nucleotide exchange factor 28","protein-coding"
"107986423","LOC107986423","uncharacterized LOC107986423","ncRNA"
"105379034","LOC105379034","uncharacterized LOC105379034","ncRNA"
"105379036","LINC02122","long intergenic non-protein coding RNA 2122","ncRNA"
"105379035","LOC105379035","uncharacterized LOC105379035","ncRNA"
"102503429","LINC01335","long intergenic non-protein coding RNA 1335","ncRNA"
"101929082","LINC01333","long intergenic non-protein coding RNA 1333","ncRNA"
"104310351","LINC01331","long intergenic non-protein coding RNA 1331","ncRNA"
"8507","ENC1","ectodermal-neural cortex 1","protein-coding"
"3074","HEXB","hexosaminidase subunit beta","protein-coding"
"84340","GFM2","GTP dependent ribosome recycling factor mitochondrial 2","protein-coding"
"10412","NSA2","NSA2 ribosome biogenesis factor","protein-coding"
"26049","FAM169A","family with sequence similarity 169 member A","protein-coding"
"441086","FAM169A-AS1","FAM169A antisense RNA 1","ncRNA"
"105379039","LOC105379039","uncharacterized LOC105379039","ncRNA"
"105379040","LOC105379040","uncharacterized LOC105379040","ncRNA"
"51301","GCNT4","glucosaminyl (N-acetyl) transferase 4","protein-coding"
"256006","ANKRD31","ankyrin repeat domain 31","protein-coding"
"3156","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase","protein-coding"
"10087","CERT1","ceramide transporter 1","protein-coding"
"51426","POLK","DNA polymerase kappa","protein-coding"
"728780","ANKDD1B","ankyrin repeat and death domain containing 1B","protein-coding"
"107986424","LOC107986424","",""
"134359","POC5","POC5 centriolar protein","protein-coding"
"441087","LOC441087","uncharacterized LOC441087","ncRNA"
"22987","SV2C","synaptic vesicle glycoprotein 2C","protein-coding"
"105379041","SV2C-AS1","SV2C antisense RNA 1","ncRNA"
"105379042","LOC105379042","uncharacterized LOC105379042","ncRNA"
"10788","IQGAP2","IQ motif containing GTPase activating protein 2","protein-coding"
"101929109","LOC101929109","uncharacterized LOC101929109","ncRNA"
"2151","F2RL2","coagulation factor II thrombin receptor like 2","protein-coding"
"100302746","NCRUPAR","non-protein coding RNA, upstream of F2R/PAR1","ncRNA"
"2149","F2R","coagulation factor II thrombin receptor","protein-coding"
"2150","F2RL1","F2R like trypsin receptor 1","protein-coding"
"170591","S100Z","S100 calcium binding protein Z","protein-coding"
"1393","CRHBP","corticotropin releasing hormone binding protein","protein-coding"
"55109","AGGF1","angiogenic factor with G-patch and FHA domains 1","protein-coding"
"84327","ZBED3","zinc finger BED-type containing 3","protein-coding"
"677828","SNORA47","small nucleolar RNA, H/ACA box 47","snoRNA"
"728723","ZBED3-AS1","ZBED3 antisense RNA 1","ncRNA"
"8622","PDE8B","phosphodiesterase 8B","protein-coding"
"55255","WDR41","WD repeat domain 41","protein-coding"
"23440","OTP","orthopedia homeobox","protein-coding"
"6902","TBCA","tubulin folding cofactor A","protein-coding"
"101929154","LOC101929154","uncharacterized LOC101929154","ncRNA"
"8546","AP3B1","adaptor related protein complex 3 subunit beta 1","protein-coding"
"728769","SCAMP1-AS1","SCAMP1 antisense RNA 1","ncRNA"
"9522","SCAMP1","secretory carrier membrane protein 1","protein-coding"
"10184","LHFPL2","LHFPL tetraspan subfamily member 2","protein-coding"
